,data_peso_predito,idGalpao,nroLote,day,peso_predito,sexo,qtde,mort,km,idIntegrador,granja,nucleo,aviario,qtdInicial,consumo,lucro,custo,custoAlimentar
8,2024-10-08,2750104,84094,39.0,2.389801592422517,f,18980.0,-14.0,49.5,SSA,275,1,4,20000.0,4.03908600227898,17523.039085103082,186635.2733579283,238608.68000000002
8,2024-10-08,120103,84111,42.0,3.2204788791810692,m,19655.0,-34.0,11.8,SSA,12,1,3,20500.0,5.038659040372979,54561.08013337833,230345.52404535958,251852.01000000004
8,2024-10-08,2590101,84530,38.0,2.738526295435057,x,21770.0,-22.0,16.4,SSA,259,1,1,22500.0,3.799432248291065,89923.70246524143,178415.6437845056,240406.92
8,2024-10-08,3350110,83746,45.0,2.6476549160290896,f,30595.0,-53.0,94.8,SSA,335,1,10,32000.0,4.738953779691063,25266.100606337888,339337.4140974131,375279.42999999993
8,2024-10-08,2750103,84093,39.0,2.3550392900234884,x,17117.0,-22.0,49.5,SSA,275,1,3,20000.0,4.094928824737199,8128.237093051837,173312.50798746973,244767.07
8,2024-10-08,2750102,84091,39.0,2.4980261449957406,x,18698.0,-22.0,49.5,SSA,275,1,2,20000.0,4.35422032739912,17343.468374714634,192889.65758423114,529464.84
8,2024-10-08,1700101,83813,43.0,2.89402086405453,x,20627.0,-45.0,39.6,SSA,170,1,1,21500.0,5.191183592785443,47746.82246259847,220940.23013860194,261661.56000000003
8,2024-10-08,1990101,84080,42.0,2.6319881888297423,f,21236.0,-21.0,12.7,SSA,199,1,1,22000.0,4.299614017639753,39815.194924630574,211758.75327749527,254649.22
8,2024-10-08,1990102,84081,42.0,3.0245623586194763,m,20078.0,-35.0,12.7,SSA,199,1,2,21000.0,4.849629941507136,53344.28248017712,219988.67834648758,258096.97999999998
8,2024-10-08,3840216,84055,45.0,2.7241170984308822,x,37855.0,-123.0,13.4,SSA,384,2,16,41800.0,4.69895798980965,86550.93067732331,377598.7282003925,2146549.8400000003
8,2024-10-08,3010104,84122,40.0,2.751994343515498,m,28997.0,-39.0,16.0,SSA,301,1,4,30500.0,4.187561616134457,77051.99655290297,282125.91293221107,347566.35
8,2024-10-08,3350106,83742,46.0,2.9056616625962253,f,30603.0,-64.0,94.8,SSA,335,1,6,32000.0,5.379012441032432,21665.404192115646,378572.3551436901,377549.18
8,2024-10-08,190103,84078,41.0,2.6564726908543026,f,31446.0,-27.0,44.6,SSA,19,1,3,32000.0,4.330400271925854,59474.62672928168,316518.38977567473,370442.24999999994
